number,git_base_exists,git_head_exists,git_merge_sha_exists,git_merge_base_sha,git_base_is_ancestor_of_head,git_merge_base_is_base,git_commits_behind_base,git_commits_ahead_base,git_files_changed,git_additions,git_deletions,git_changes,git_deletion_ratio,git_filenames,git_touch_main_js,git_touch_config_js,git_touch_anchorage,git_touch_landmark,git_touch_validator,git_added_files,git_modified_files,git_removed_files,git_renamed_or_copied_files,git_base_cosmic_sights,git_head_cosmic_sights,git_cosmic_sights_delta
12,1,1,1,0f9ad4f7410659331bffd0350a0f4367dc26e746,1,1,0,5,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,,,
13,1,1,1,c4a804b68b9df6593c59715557d667e000a63f86,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
14,1,1,1,9541f43823bf47d97fb3de24a7103b37a7f1a4c7,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
15,1,1,1,1b97de625eed08e3828f748e84a1ebeca946b205,1,1,0,1,1,178,0,178,0.0,landmarks/anchorage.js,0,0,1,1,0,0,1,0,0,,,
16,1,1,1,bf3d1b96eb70a0805c2d8c4b83fd6a553dfcd5b4,1,1,0,1,1,220,0,220,0.0,landmarks/anchorage.js,0,0,1,1,0,0,1,0,0,,,
17,1,1,1,1bec4fd469de048e0176afff321b135856f4ca9c,1,1,0,1,2,19,7,26,0.2692307692307692,cosmic-sight-tracker.js;cosmic-sights-atlas.js,0,0,0,0,0,0,2,0,0,,,
18,1,1,1,708a42ebfef7ec116c5201967e3ff395bb25cd26,1,1,0,1,1,27,2,29,0.06896551724137931,main.js,1,0,0,0,0,0,1,0,0,,,
19,1,1,1,f673ace2a0691e48610d02d9aa040a84469e2ee3,1,1,0,3,2,25,0,25,0.0,main.js;world-visit-counter.js,1,0,0,0,0,0,2,0,0,,,
20,1,1,1,28416b7f11112965dabfd4a6059773b315875a36,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
21,1,1,1,3ec78bf41b193c9f267765af712da1b89f1e3795,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
22,1,1,1,d1a1abccc9c6b7e5a05e086c7b4cab2a8d0bba50,1,1,0,1,1,233,0,233,0.0,landmarks/anchorage.js,0,0,1,1,0,0,1,0,0,,,
23,1,1,1,fe7c7b364c195bc56cc86c2f3f7ddf3806bc0828,1,1,0,2,1,1,1,2,0.5,config.js,0,1,0,0,0,0,1,0,0,,,
24,1,1,1,1260648c8a0d6389162155a3b37e8d2492cafdf0,1,1,0,1,1,327,0,327,0.0,landmarks/anchorage.js,0,0,1,1,0,0,1,0,0,,,
25,1,1,1,deebc86948ff691876f418d5df250f0f6d703299,1,1,0,1,1,27,0,27,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
26,1,1,1,46ecdc7c8850a799326666f6c46ab2601895ddd2,1,1,0,1,1,27,0,27,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
27,1,1,1,0b9f418f0f578eb82fff8ccd7bcd986255c265ec,1,1,0,1,1,27,0,27,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
28,1,1,1,62a628015f6754e91a5893ddf198606086a26ac2,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
29,1,1,1,6fa969d969f9cc83738ee5fa16be499e2532d2b3,1,1,0,2,1,1,1,2,0.5,config.js,0,1,0,0,0,0,1,0,0,,,
30,1,1,1,2bb8587149a8d14977d15d3d4362c5313abaf97a,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
31,1,1,1,06d2fabb7f7e2a4143a4c4f04e4a14e2d76f5fb0,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
32,1,1,1,522d95d665186413f066138f26c2f5d65161549e,1,1,0,1,1,168,0,168,0.0,landmarks/anchorage.js,0,0,1,1,0,0,1,0,0,,,
33,1,1,1,b1471f2de1d8e47d7ffe47b69407ed925e510123,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
34,1,1,1,e330401747bf8162f38a6c7646f2bd3bcc0b6027,1,1,0,2,1,204,0,204,0.0,landmarks/anchorage.js,0,0,1,1,0,0,1,0,0,,,
35,1,1,1,8274ea34c6d79bebf6f966e439195ee4299c0551,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
36,1,1,1,5a915d30d32adc6874aca570d646346cdd6872a5,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
37,1,1,1,ce3274982e7e5b42ef25bd213bbc721ecc1cafe3,1,1,0,1,1,142,0,142,0.0,landmarks/anchorage.js,0,0,1,1,0,0,1,0,0,,,
38,1,1,1,d6009eb42608d5678f9b9bbce9afaee059749b60,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
39,1,1,1,ef22fa1770b7942ee438eec7527c7b76c0c1bb8f,1,1,0,1,1,158,0,158,0.0,landmarks/anchorage.js,0,0,1,1,0,0,1,0,0,,,
40,1,1,1,6ad374f2be73b9e229d4d65ea151d1e5e51c0c80,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
41,1,1,1,075c40dcb4a8cd1cf4a830b6e8f6d8b317442f2c,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
42,1,1,1,139209687608d27cd2b8ed7a3312122ebd7ccccf,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
43,1,1,1,4335face4742d280dcf8e0d5afd4adf331b0ded1,1,1,0,1,1,137,0,137,0.0,landmarks/anchorage.js,0,0,1,1,0,0,1,0,0,,,
44,1,1,1,3a2ab26c55aad2ade4e99d15b297e14020d1a7c7,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
45,1,1,1,9d84a3fff2bf8bc20f7f3a74f7a4b82fb489feac,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
46,1,1,1,1e15cb26ea8042d64956a8b90a2a67161bb60b30,1,1,0,1,1,55,0,55,0.0,landmarks/edge-garden.js,0,0,0,1,0,1,0,0,0,,,
47,1,1,1,70d38441d655412b6851f2ea924c14ca9c0754fe,1,1,0,1,1,186,0,186,0.0,landmarks/anchorage.js,0,0,1,1,0,0,1,0,0,,,
48,1,1,1,08bf063273213930d1fc9cb6460534f7a9ee25c5,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
49,1,1,0,4335face4742d280dcf8e0d5afd4adf331b0ded1,0,0,4,1,3,52,213,265,0.8037735849056604,landmarks/anchorage.js;landmarks/edge-garden.js;main.js,1,0,1,1,0,0,3,0,0,,,
50,1,1,1,55f9a0eb658157fa608c88e0c2bbf18d18c7db48,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
51,1,1,1,bc2c04012a14e3ed5dcda974269f8788a67d3b29,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
52,1,1,1,afd262a3971112e361c0a4b0b4c5280bb83d9f77,1,1,0,3,2,28,3,31,0.0967741935483871,landmarks/anchorage.js;main.js,1,0,1,1,0,0,2,0,0,,,
53,1,1,1,6938f91557ce57f71aa43dc8c5366134b38b75ca,1,1,0,1,1,156,0,156,0.0,landmarks/anchorage.js,0,0,1,1,0,0,1,0,0,,,
54,1,1,1,982e9bf3e5a6201d48bd48dc9aa34ef5a20e9ba2,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
55,1,1,1,665c272b7b86c5d8ea397f84403d31831fd11457,1,1,0,1,1,5,2,7,0.2857142857142857,world-visit-counter.js,0,0,0,0,0,0,1,0,0,,,
56,1,1,1,a622393f96be9bf00950adf3d0fc003dd0d51bc3,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
57,1,1,1,a29bb5e65998446226270dabf248fad739a09a36,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
58,1,1,0,a29bb5e65998446226270dabf248fad739a09a36,0,0,2,1,1,25,25,50,0.5,main.js,1,0,0,0,0,0,1,0,0,,,
59,1,1,1,9e70e6ebd6b8b8a2a2e48dc4734829cdd1d470d1,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
60,1,1,1,a991994694d8de36a005ad96dc0d310510394038,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
61,1,1,1,c2f1731892f17a1bd5fb6aee7ae11f848079acdb,1,1,0,1,1,203,0,203,0.0,landmarks/anchorage.js,0,0,1,1,0,0,1,0,0,,,
62,1,1,0,c2f1731892f17a1bd5fb6aee7ae11f848079acdb,0,0,1,1,2,1,204,205,0.9951219512195122,config.js;landmarks/anchorage.js,0,1,1,1,0,0,2,0,0,,,
63,1,1,0,cb390e60fa6b779b8faa17a1938133a11958f096,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
64,1,1,0,96c89bb4a9f0e3418411e24df9d0b8c369437197,1,1,0,1,1,26,1,27,0.037037037037037035,main.js,1,0,0,0,0,0,1,0,0,,,
65,1,1,1,cb390e60fa6b779b8faa17a1938133a11958f096,1,1,0,1,1,181,0,181,0.0,landmarks/anchorage.js,0,0,1,1,0,0,1,0,0,,,
66,1,1,0,cb390e60fa6b779b8faa17a1938133a11958f096,0,0,1,1,2,25,181,206,0.8786407766990292,landmarks/anchorage.js;main.js,1,0,1,1,0,0,2,0,0,,,
67,1,1,0,c2f1731892f17a1bd5fb6aee7ae11f848079acdb,0,0,2,1,2,27,182,209,0.8708133971291866,landmarks/anchorage.js;main.js,1,0,1,1,0,0,2,0,0,,,
68,1,1,1,96c89bb4a9f0e3418411e24df9d0b8c369437197,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
69,1,1,0,96c89bb4a9f0e3418411e24df9d0b8c369437197,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
70,1,1,0,96c89bb4a9f0e3418411e24df9d0b8c369437197,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
71,1,1,0,96c89bb4a9f0e3418411e24df9d0b8c369437197,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
72,1,1,1,3a87d9bce64689b132f5ffa0ebba51f49cfbb0e0,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
73,1,1,0,3a87d9bce64689b132f5ffa0ebba51f49cfbb0e0,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
74,1,1,1,145af6f97d7122d0640e11fe4e6afdfbfba4fb17,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
75,1,1,0,3a87d9bce64689b132f5ffa0ebba51f49cfbb0e0,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
76,1,1,0,145af6f97d7122d0640e11fe4e6afdfbfba4fb17,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
77,1,1,1,8ac07446c124394c1e7c15b5d310238983c7392d,1,1,0,1,1,170,0,170,0.0,landmarks/anchorage.js,0,0,1,1,0,0,1,0,0,,,
78,1,1,0,145af6f97d7122d0640e11fe4e6afdfbfba4fb17,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
79,1,1,1,392bb51d66a5633b94395a0282a8b51f1c42b0e9,1,1,0,1,1,0,1,1,1.0,agent-activity.js,0,0,0,0,0,0,1,0,0,,,
80,1,1,1,34cb26b0781516dd5f48042d6c85884aab7e6cd0,1,1,0,1,1,141,0,141,0.0,landmarks/anchorage.js,0,0,1,1,0,0,1,0,0,,,
81,1,1,0,34cb26b0781516dd5f48042d6c85884aab7e6cd0,0,0,1,1,2,25,141,166,0.8493975903614458,landmarks/anchorage.js;main.js,1,0,1,1,0,0,2,0,0,,,
82,1,1,1,f482ad935940fea13b2ef8355c161abf02cf10d7,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
83,1,1,1,efd13df26f23efaa097a0baa1511c505247a4ffe,1,1,0,1,1,147,0,147,0.0,landmarks/anchorage.js,0,0,1,1,0,0,1,0,0,,,
84,1,1,0,f6287eeee82d151e96726f46ca6bb13658dfd587,0,0,1,2,1,25,25,50,0.5,main.js,1,0,0,0,0,0,1,0,0,,,
85,1,1,0,34cb26b0781516dd5f48042d6c85884aab7e6cd0,0,0,2,1,2,25,288,313,0.9201277955271565,landmarks/anchorage.js;main.js,1,0,1,1,0,0,2,0,0,,,
86,1,1,0,f6287eeee82d151e96726f46ca6bb13658dfd587,0,0,1,2,1,25,25,50,0.5,main.js,1,0,0,0,0,0,1,0,0,,,
87,1,1,0,34cb26b0781516dd5f48042d6c85884aab7e6cd0,0,0,4,1,2,25,313,338,0.9260355029585798,landmarks/anchorage.js;main.js,1,0,1,1,0,0,2,0,0,,,
88,1,1,1,b55ece30fa2f0c8911146e83e6eb2223870c60fb,1,1,0,1,1,157,0,157,0.0,landmarks/anchorage.js,0,0,1,1,0,0,1,0,0,,,
89,1,1,0,34cb26b0781516dd5f48042d6c85884aab7e6cd0,0,0,4,1,2,25,313,338,0.9260355029585798,landmarks/anchorage.js;main.js,1,0,1,1,0,0,2,0,0,,,
90,1,1,0,f6287eeee82d151e96726f46ca6bb13658dfd587,0,0,1,2,1,25,25,50,0.5,main.js,1,0,0,0,0,0,1,0,0,,,
91,1,1,1,333b5052c9212da37a99e580a665d0f8338faf08,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
92,1,1,0,f6287eeee82d151e96726f46ca6bb13658dfd587,0,0,1,2,1,25,25,50,0.5,main.js,1,0,0,0,0,0,1,0,0,,,
93,1,1,1,c93370c702462d780d35a55a3f91414c853f226b,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
94,1,1,1,f6287eeee82d151e96726f46ca6bb13658dfd587,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
95,1,1,0,c93370c702462d780d35a55a3f91414c853f226b,1,1,0,1,1,0,1,1,1.0,agent-activity.js,0,0,0,0,0,0,1,0,0,,,
96,1,1,1,abbae31ef7e9e7238e0ab686b92a0cc46f208b1a,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
97,1,1,1,034c5d00e2afc9239b0e4f99c4ba8a4737377a84,1,1,0,1,1,202,0,202,0.0,landmarks/anchorage.js,0,0,1,1,0,0,1,0,0,,,
98,1,1,0,abbae31ef7e9e7238e0ab686b92a0cc46f208b1a,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
99,1,1,0,034c5d00e2afc9239b0e4f99c4ba8a4737377a84,0,0,1,1,2,0,203,203,1.0,agent-activity.js;landmarks/anchorage.js,0,0,1,1,0,0,2,0,0,,,
100,1,1,1,ef790596105e70b1428b3d204aeecbe5635dcb75,1,1,0,1,1,148,0,148,0.0,landmarks/anchorage.js,0,0,1,1,0,0,1,0,0,,,
101,1,1,1,24e7127dabdbd52defdce7ac6eb1ab2d490d73d2,1,1,0,1,1,4,4,8,0.5,main.js,1,0,0,0,0,0,1,0,0,,,
102,1,1,1,4abb273e10663169f42447b02216a3176adf4f11,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
103,1,1,1,e79fa2a85837925bfc4a3d2734762622f6cdcdd7,1,1,0,1,1,188,0,188,0.0,landmarks/anchorage.js,0,0,1,1,0,0,1,0,0,,,
104,1,1,1,81f8eeea794ff9643c86366d63cd39cccac11697,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
105,1,1,1,acdebb8a89af802abd647950150a181a4415ea67,1,1,0,1,1,185,0,185,0.0,landmarks/anchorage.js,0,0,1,1,0,0,1,0,0,,,
106,1,1,1,579ff675ac0177f1384d9d77822140de0b15d1d9,1,1,0,1,1,2,2,4,0.5,main.js,1,0,0,0,0,0,1,0,0,,,
107,1,1,1,2cc9cc674e53bdb975989f40d231eb9ec8e926b5,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
108,1,1,1,808311dc1df43b4f111ffed174222ec802106d87,1,1,0,1,1,27,1,28,0.03571428571428571,main.js,1,0,0,0,0,0,1,0,0,,,
109,1,1,1,cfc4211fd09102b61ac89e91ea3bcea12e19a68d,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
110,1,1,1,880cc430a54e8bb408d897edf227801215cfa5db,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
111,1,1,1,16803a97ef211f72a640772ddc3895f55060526c,1,1,0,1,1,223,0,223,0.0,landmarks/anchorage.js,0,0,1,1,0,0,1,0,0,,,
112,1,1,1,a3475b8050110583eb6b849ad28614e0657867de,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
113,1,1,1,1dbe79135adafeafb19d51a42e9783f4a90b5d83,1,1,0,1,1,1,1,2,0.5,index.html,0,0,0,0,0,0,1,0,0,,,
114,1,1,1,2954d92a97868b41fd18f9ea55e95123fc8c10bc,1,1,0,1,1,50,50,100,0.5,main.js,1,0,0,0,0,0,1,0,0,,,
115,1,1,0,16803a97ef211f72a640772ddc3895f55060526c,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
116,1,1,0,1dbe79135adafeafb19d51a42e9783f4a90b5d83,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
117,1,1,0,a111b82d2afd87e69c6faf172357a3470fdc70ae,1,1,0,1,1,175,0,175,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
118,1,1,0,1dbe79135adafeafb19d51a42e9783f4a90b5d83,0,0,1,1,2,26,1,27,0.037037037037037035,index.html;main.js,1,0,0,0,0,0,2,0,0,,,
119,1,1,1,facbd4b94c90326e9d9bf432c9be43686d844e91,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
120,1,1,1,a111b82d2afd87e69c6faf172357a3470fdc70ae,1,1,0,1,1,231,0,231,0.0,landmarks/anchorage.js,0,0,1,1,0,0,1,0,0,,,
121,1,1,1,b62ec60b5a3c56dfc9679dcc7ce433d75aee3e69,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
122,1,1,0,5ab201c79a53a4db80fe00ee69fb1d76c9547ec3,0,0,1,2,1,174,25,199,0.12562814070351758,main.js,1,0,0,0,0,0,1,0,0,,,
124,1,1,1,5ab201c79a53a4db80fe00ee69fb1d76c9547ec3,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
125,1,1,1,86b46eac46750d9c5b6292cdd4a09b3da69802e5,0,0,1,1,1,0,1,1,1.0,main.js,1,0,0,0,0,0,1,0,0,,,
126,1,1,0,5ab201c79a53a4db80fe00ee69fb1d76c9547ec3,0,0,1,1,1,1,103,104,0.9903846153846154,main.js,1,0,0,0,0,0,1,0,0,,,
127,1,1,1,c770301b05742c9365d95a46ac2f983150bd5e96,1,1,0,1,1,282,0,282,0.0,landmarks/anchorage.js,0,0,1,1,0,0,1,0,0,,,
128,1,1,0,c770301b05742c9365d95a46ac2f983150bd5e96,1,1,0,1,1,1,102,103,0.9902912621359223,main.js,1,0,0,0,0,0,1,0,0,,,
129,1,1,1,43a237911e6454b742a2c83cb20b29a9073fef98,1,1,0,1,1,25,0,25,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
130,1,1,1,7b01f6192ac849ed9c4428fb44a8aaf389d9abd1,1,1,0,1,1,0,81,81,1.0,main.js,1,0,0,0,0,0,1,0,0,,,
131,1,1,0,c770301b05742c9365d95a46ac2f983150bd5e96,0,0,2,1,2,1,409,410,0.9975609756097561,landmarks/anchorage.js;main.js,1,0,1,1,0,0,2,0,0,,,
132,1,1,1,cbe338a2bf9ac68e824fd70fee31c35a6aa8db63,1,1,0,1,1,284,0,284,0.0,landmarks/anchorage.js,0,0,1,1,0,0,1,0,0,,,
133,1,1,0,ddf2014fb4f222c6644875f41f1e8aaaefd342ce,1,1,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,,,
134,1,1,1,86b46eac46750d9c5b6292cdd4a09b3da69802e5,1,1,0,1,1,1,127,128,0.9921875,main.js,1,0,0,0,0,0,1,0,0,,,
135,1,1,0,86b46eac46750d9c5b6292cdd4a09b3da69802e5,1,1,0,1,1,81,0,81,0.0,main.js,1,0,0,0,0,0,1,0,0,,,
136,1,1,0,ddf2014fb4f222c6644875f41f1e8aaaefd342ce,1,1,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,,,
137,1,1,1,ddf2014fb4f222c6644875f41f1e8aaaefd342ce,1,1,0,1,1,273,0,273,0.0,landmarks/anchorage.js,0,0,1,1,0,0,1,0,0,,,
